epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2624,2.0028,3.73576,1.80127,0.03063,0.32485,0.02724,0.01188,2.16055,4.01129,2.03059,9.999e-05,9.999e-05,9.999e-05
2,138.093,2.01681,3.5458,1.78313,0.03209,0.35586,0.02735,0.01261,2.12137,3.97232,2.05403,0.000209,0.000209,0.000209
3,208.382,1.94253,3.21784,1.7339,0.03033,0.35596,0.0455,0.01925,2.05928,3.93183,2.04045,0.000315811,0.000315811,0.000315811
4,278.635,1.83093,2.93862,1.61929,0.02704,0.33303,0.06045,0.02772,1.83176,3.87769,1.89231,0.000420421,0.000420421,0.000420421
5,346.076,1.80064,2.67229,1.65471,0.0234,0.31818,0.0725,0.02742,1.7729,3.74294,1.92483,0.000522832,0.000522832,0.000522832
6,409.886,1.72317,2.58997,1.69543,0.41528,0.10577,0.07593,0.03215,1.80105,3.58999,1.93167,0.000623043,0.000623043,0.000623043
7,474.133,1.82725,2.45526,1.73063,0.4544,0.10222,0.08344,0.03526,1.92989,3.56874,1.99876,0.000721055,0.000721055,0.000721055
8,539.094,1.78035,2.32038,1.6851,0.48892,0.16525,0.10339,0.04339,1.94123,3.23677,1.99055,0.000816866,0.000816866,0.000816866
9,605.463,1.72293,2.18399,1.62676,0.48815,0.16889,0.11933,0.04753,2.03627,3.46339,2.11439,0.000910478,0.000910478,0.000910478
10,669.244,1.7423,2.02945,1.58326,0.52225,0.25859,0.13384,0.05771,2.17159,3.63188,2.17069,0.00100189,0.00100189,0.00100189
11,733.002,1.72213,2.1443,1.58392,0.5692,0.23758,0.14705,0.0602,2.25978,3.65056,2.39117,0.00100101,0.00100101,0.00100101
12,797.099,1.64287,2.05277,1.57183,0.51919,0.23152,0.13806,0.05717,2.21203,4.30368,2.4329,0.000990012,0.000990012,0.000990012
13,862.315,1.67759,1.97066,1.56391,0.48656,0.24202,0.10657,0.04526,2.24534,5.16151,2.50218,0.000979013,0.000979013,0.000979013
14,926.993,1.67413,1.87285,1.5513,0.13536,0.22263,0.11853,0.05284,2.49371,3.97778,2.74809,0.000968014,0.000968014,0.000968014
15,990.221,1.65802,1.84194,1.55098,0.49579,0.17612,0.12406,0.05775,2.50646,4.40838,2.61057,0.000957015,0.000957015,0.000957015
16,1052.65,1.63552,1.86531,1.53325,0.49032,0.16606,0.1203,0.05814,2.2519,5.4126,2.22,0.000946016,0.000946016,0.000946016
17,1115.51,1.5975,1.75921,1.55907,0.52305,0.18827,0.13546,0.06446,2.19534,5.10955,2.15906,0.000935018,0.000935018,0.000935018
18,1178.31,1.63083,1.75722,1.53395,0.56969,0.22324,0.15691,0.07381,2.33156,4.39256,2.29041,0.000924019,0.000924019,0.000924019
19,1240.45,1.6439,1.82615,1.57051,0.22035,0.24566,0.17661,0.08376,2.26627,3.85101,2.1899,0.00091302,0.00091302,0.00091302
20,1302.4,1.55786,1.70955,1.51494,0.62589,0.2097,0.19325,0.08706,2.22348,3.38687,2.06602,0.000902021,0.000902021,0.000902021
21,1364.78,1.55056,1.63518,1.46492,0.26132,0.19758,0.17295,0.07713,2.20703,3.15118,2.15612,0.000891022,0.000891022,0.000891022
22,1428,1.70824,1.83687,1.5966,0.22675,0.23192,0.15662,0.06877,2.30811,3.2545,2.33552,0.000880023,0.000880023,0.000880023
23,1490.45,1.49536,1.59906,1.46857,0.21771,0.24808,0.18134,0.08801,2.38891,3.24658,2.4214,0.000869024,0.000869024,0.000869024
24,1556.26,1.54859,1.62098,1.49572,0.25937,0.27394,0.21752,0.1096,2.39807,3.08865,2.40584,0.000858025,0.000858025,0.000858025
25,1624.2,1.59191,1.67778,1.49825,0.33003,0.29137,0.26071,0.1287,2.34082,3.09349,2.35852,0.000847026,0.000847026,0.000847026
26,1693.6,1.51127,1.4537,1.4002,0.40288,0.26949,0.28594,0.13082,2.29335,3.23939,2.26862,0.000836027,0.000836027,0.000836027
27,1759.58,1.49641,1.51182,1.43569,0.3778,0.29172,0.26787,0.12423,2.27751,3.24075,2.19393,0.000825029,0.000825029,0.000825029
28,1829.87,1.49279,1.58439,1.40617,0.41018,0.25818,0.25745,0.12689,2.27037,3.12026,2.17924,0.00081403,0.00081403,0.00081403
29,1891.72,1.50889,1.57225,1.43889,0.36182,0.27919,0.22707,0.12164,2.1744,2.98157,2.12465,0.000803031,0.000803031,0.000803031
30,1953.53,1.41915,1.4384,1.37013,0.32468,0.26182,0.22172,0.12404,2.06092,2.9743,2.08402,0.000792032,0.000792032,0.000792032
31,2016.29,1.42863,1.40639,1.36202,0.25437,0.30038,0.21555,0.12029,2.09357,3.03703,2.13999,0.000781033,0.000781033,0.000781033
32,2077.73,1.51825,1.44208,1.39335,0.31505,0.24911,0.20951,0.11433,2.18817,3.07374,2.20684,0.000770034,0.000770034,0.000770034
33,2140.29,1.45098,1.49403,1.43091,0.3277,0.24646,0.21343,0.1154,2.20814,3.10156,2.26322,0.000759035,0.000759035,0.000759035
34,2208.63,1.43267,1.40054,1.38502,0.20678,0.31111,0.21009,0.10996,2.18593,3.10013,2.20732,0.000748036,0.000748036,0.000748036
35,2275.94,1.40387,1.387,1.36658,0.29909,0.26817,0.22295,0.10906,2.09204,3.00618,2.11509,0.000737037,0.000737037,0.000737037
36,2341.95,1.39166,1.42656,1.38577,0.26571,0.35669,0.23605,0.11664,2.23886,2.98627,2.1929,0.000726038,0.000726038,0.000726038
37,2407.98,1.39412,1.42696,1.38369,0.28895,0.35101,0.25274,0.12188,2.19707,3.10505,2.18941,0.00071504,0.00071504,0.00071504
38,2477.75,1.42623,1.43288,1.39258,0.27994,0.37707,0.24199,0.12104,2.26058,2.96212,2.31711,0.000704041,0.000704041,0.000704041
39,2543.18,1.35977,1.36351,1.3671,0.30465,0.29202,0.21818,0.11062,2.35228,2.84668,2.38675,0.000693042,0.000693042,0.000693042
40,2616.39,1.37442,1.34286,1.32923,0.30909,0.30091,0.22608,0.11399,2.40043,2.90563,2.41213,0.000682043,0.000682043,0.000682043
41,2686.59,1.37474,1.29846,1.28468,0.29764,0.30516,0.23375,0.11313,2.43448,3.0271,2.39318,0.000671044,0.000671044,0.000671044
42,2750.02,1.3551,1.33131,1.32343,0.26882,0.30061,0.24054,0.12023,2.33684,3.20055,2.35743,0.000660045,0.000660045,0.000660045
43,2814.38,1.3359,1.34308,1.3292,0.30626,0.31394,0.25818,0.12985,2.24918,2.92538,2.27686,0.000649046,0.000649046,0.000649046
44,2876.05,1.34709,1.292,1.32735,0.29754,0.39747,0.28758,0.14647,2.20625,2.9135,2.24776,0.000638047,0.000638047,0.000638047
45,2937.83,1.41207,1.3712,1.37809,0.35988,0.35301,0.30874,0.15423,2.1852,2.85794,2.23965,0.000627048,0.000627048,0.000627048
46,2999.54,1.33703,1.2295,1.30352,0.35981,0.32556,0.27462,0.13865,2.20793,2.98602,2.26658,0.000616049,0.000616049,0.000616049
47,3061.41,1.31791,1.24524,1.26851,0.28546,0.36241,0.25946,0.137,2.21849,3.20791,2.2871,0.000605051,0.000605051,0.000605051
48,3123.34,1.31798,1.22852,1.2949,0.26709,0.32323,0.2622,0.13654,2.27741,3.14451,2.27075,0.000594052,0.000594052,0.000594052
49,3186.15,1.29702,1.21381,1.2885,0.68873,0.28404,0.28813,0.15381,2.33648,2.96803,2.32508,0.000583053,0.000583053,0.000583053
50,3248.45,1.31295,1.21541,1.31392,0.68357,0.29737,0.29852,0.1668,2.03404,2.90832,2.1348,0.000572054,0.000572054,0.000572054
