epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.016,1.5363,3.66956,1.49377,0.03007,0.3018,0.03609,0.01543,1.91179,3.90122,1.89746,0.00019,0.00019,0.00019
2,251.275,1.44541,2.68855,1.40418,0.02226,0.42418,0.03327,0.01365,1.91974,3.81054,2.03929,0.000386139,0.000386139,0.000386139
3,379.266,1.44695,2.12472,1.39522,0.7085,0.08,0.05682,0.02161,2.00011,3.62586,2.06029,0.000578318,0.000578318,0.000578318
4,504.404,1.39155,1.81636,1.41052,0.73701,0.16128,0.09199,0.03309,1.98729,3.18836,1.94724,0.000766537,0.000766537,0.000766537
5,629.883,1.28446,1.67375,1.32988,0.47275,0.22605,0.1049,0.03867,2.00749,3.21016,2.07441,0.000950796,0.000950796,0.000950796
6,755.856,1.32052,1.65943,1.3588,0.44967,0.27026,0.1214,0.05511,2.00961,3.52595,2.39831,0.0009505,0.0009505,0.0009505
7,881.026,1.31346,1.5447,1.34893,0.46105,0.19915,0.10533,0.04908,1.99529,3.53428,2.15691,0.0009406,0.0009406,0.0009406
8,1005.85,1.2552,1.42827,1.29422,0.51145,0.21799,0.1331,0.05904,2.00342,3.25184,2.23832,0.0009307,0.0009307,0.0009307
9,1131.64,1.26691,1.43604,1.30709,0.5159,0.15153,0.11265,0.05303,2.11955,3.7323,2.33137,0.0009208,0.0009208,0.0009208
10,1257.74,1.18669,1.28279,1.27864,0.49299,0.25107,0.13041,0.05909,2.02397,3.66367,2.25171,0.0009109,0.0009109,0.0009109
11,1383.02,1.17155,1.36522,1.27256,0.29848,0.21799,0.20002,0.09144,1.95941,3.23418,2.14525,0.000901,0.000901,0.000901
12,1508.28,1.26244,1.36231,1.31675,0.20171,0.21587,0.15176,0.07136,2.0169,3.19231,2.13548,0.0008911,0.0008911,0.0008911
13,1634.09,1.20777,1.28443,1.27581,0.22277,0.23725,0.1838,0.08982,2.02036,3.1703,2.11788,0.0008812,0.0008812,0.0008812
14,1759.74,1.20819,1.29119,1.29446,0.62428,0.2055,0.18755,0.09404,1.96939,3.066,2.0662,0.0008713,0.0008713,0.0008713
15,1887.37,1.27672,1.29684,1.29912,0.19831,0.28286,0.21493,0.10405,1.94484,3.32852,2.14589,0.0008614,0.0008614,0.0008614
16,2014.21,1.19985,1.26785,1.2573,0.18022,0.25312,0.18227,0.08141,1.93056,3.45051,2.12458,0.0008515,0.0008515,0.0008515
17,2140.71,1.14294,1.18832,1.21291,0.18106,0.29164,0.17561,0.08036,2.00803,3.20161,2.20872,0.0008416,0.0008416,0.0008416
18,2266.71,1.16583,1.21794,1.24841,0.19119,0.25862,0.19916,0.10355,1.90162,3.01727,2.10265,0.0008317,0.0008317,0.0008317
19,2392.03,1.17988,1.20963,1.26631,0.21216,0.34931,0.18914,0.09434,1.83488,2.99988,2.13876,0.0008218,0.0008218,0.0008218
20,2517.15,1.13751,1.15382,1.24352,0.2502,0.31958,0.23094,0.10899,1.84664,2.90278,2.09726,0.0008119,0.0008119,0.0008119
21,2643.77,1.10999,1.15557,1.2165,0.59891,0.31175,0.24093,0.11834,1.94708,2.92162,2.19645,0.000802,0.000802,0.000802
22,2773.13,1.08236,1.05282,1.16477,0.62198,0.2541,0.21305,0.11272,1.89798,2.87415,2.11755,0.0007921,0.0007921,0.0007921
23,2901.83,1.12116,1.12075,1.19686,0.27089,0.28254,0.21539,0.11283,1.74835,3.0097,1.96737,0.0007822,0.0007822,0.0007822
24,3027.94,1.09178,1.08416,1.20833,0.21465,0.31704,0.20707,0.10792,1.76419,3.09845,1.96971,0.0007723,0.0007723,0.0007723
25,3152.82,1.1721,1.1569,1.23091,0.57815,0.33735,0.23077,0.11549,1.80725,2.67715,2.0891,0.0007624,0.0007624,0.0007624
26,3279.7,1.13447,1.11744,1.22038,0.20174,0.24444,0.1717,0.08896,1.90159,3.11253,2.28729,0.0007525,0.0007525,0.0007525
27,3405.87,1.06485,1.03134,1.15041,0.57502,0.29428,0.22747,0.11214,1.9483,2.63255,2.19684,0.0007426,0.0007426,0.0007426
28,3531.51,1.13652,1.13352,1.22125,0.57313,0.30696,0.21864,0.10975,1.90619,2.51967,2.10246,0.0007327,0.0007327,0.0007327
29,3657.07,1.08279,1.01951,1.17662,0.58568,0.27449,0.22785,0.11462,2.08889,2.56598,2.24954,0.0007228,0.0007228,0.0007228
30,3782.8,1.05712,0.97061,1.14271,0.29644,0.37593,0.28056,0.14344,2.19761,2.67546,2.44742,0.0007129,0.0007129,0.0007129
31,3907.69,1.06121,0.97485,1.16306,0.38281,0.36005,0.3216,0.16376,2.11052,2.58279,2.30522,0.000703,0.000703,0.000703
32,4033.16,1.08759,1.00162,1.17947,0.23774,0.4859,0.30272,0.15313,2.02941,2.58377,2.17022,0.0006931,0.0006931,0.0006931
33,4158.68,1.05419,0.96486,1.1724,0.26346,0.34984,0.25575,0.13556,1.92635,2.46354,2.0391,0.0006832,0.0006832,0.0006832
34,4284.07,1.10795,1.0443,1.1782,0.31305,0.29045,0.25268,0.13051,1.86149,2.64384,1.96859,0.0006733,0.0006733,0.0006733
35,4409.4,1.03956,0.978,1.17388,0.31671,0.28254,0.22532,0.12114,1.9044,2.6793,2.04932,0.0006634,0.0006634,0.0006634
36,4534.68,1.00553,0.913,1.13813,0.25778,0.32148,0.27743,0.15448,1.99435,2.68629,2.15161,0.0006535,0.0006535,0.0006535
37,4659.99,1.03944,0.92058,1.13799,0.27322,0.33122,0.27208,0.12999,2.07781,2.68186,2.23777,0.0006436,0.0006436,0.0006436
